event_id,timestamp,mission_phase,region_type,radar_signal_strength,radar_noise_level,satellite_temperature,satellite_power_level,uav_battery_level,uav_altitude,communication_latency_ms,communication_packet_loss,cyber_alert_count,failed_login_attempts,weather_severity,anomaly_label,anomaly_type
EVT-00112,2026-01-02 03:45:00,Surveillance,Coastal,72.72,5.06,34.93,83.23,83.87,17129.53,88.07,3.49,1,1,4,0,Normal
EVT-00113,2026-01-02 04:00:00,Transit,Urban,90.92,12.51,53.38,82.43,62.4,8376.9,131.78,6.47,2,6,2,0,Normal
EVT-00114,2026-01-02 04:15:00,Transit,Coastal,80.19,20.44,41.27,93.75,58.22,9969.0,162.96,1.33,2,7,1,0,Normal
EVT-00115,2026-01-02 04:30:00,Transit,Urban,39.81,52.86,36.13,92.02,63.06,6492.88,156.37,0.92,4,1,3,1,Radar Degradation
EVT-00116,2026-01-02 04:45:00,Transit,Mountain,81.89,11.08,78.68,47.0,73.4,12905.31,115.27,4.46,3,6,5,1,Satellite Telemetry Spike
EVT-00117,2026-01-02 05:00:00,Pre-Mission,Open Ocean,78.56,18.95,40.82,83.41,68.91,9246.86,150.65,0.59,4,2,2,0,Normal
EVT-00118,2026-01-02 05:15:00,Pre-Mission,Mountain,78.99,24.13,41.23,93.18,81.94,9317.5,150.38,2.19,2,5,5,0,Normal
EVT-00119,2026-01-02 05:30:00,Launch,Desert,74.33,22.66,50.91,85.86,90.27,8568.71,116.94,2.39,1,6,2,0,Normal
EVT-00120,2026-01-02 05:45:00,Pre-Mission,Mountain,65.42,17.43,35.71,80.27,58.34,13943.39,95.74,4.16,1,4,1,0,Normal
EVT-00121,2026-01-02 06:00:00,Transit,Urban,64.11,15.19,37.76,73.99,61.72,13778.66,97.77,3.48,1,1,4,0,Normal
EVT-00122,2026-01-02 06:15:00,Surveillance,Urban,83.88,14.22,46.23,82.91,51.89,16530.08,149.32,3.23,1,1,5,0,Normal
EVT-00123,2026-01-02 06:30:00,Surveillance,Coastal,75.51,20.81,52.76,91.28,100.0,10285.73,118.52,1.86,2,5,5,0,Normal
EVT-00124,2026-01-02 06:45:00,Transit,Coastal,38.71,46.48,77.07,100.0,76.27,12547.05,153.15,4.44,13,3,5,1,Multi-Domain Escalation
EVT-00125,2026-01-02 07:00:00,Return,Open Ocean,78.08,21.78,39.68,86.43,78.72,8776.66,61.03,8.94,0,2,1,0,Normal
EVT-00126,2026-01-02 07:15:00,Transit,Open Ocean,85.15,18.79,52.5,80.64,53.24,11162.4,149.11,3.61,3,2,1,0,Normal
EVT-00127,2026-01-02 07:30:00,Pre-Mission,Open Ocean,79.62,22.91,38.73,77.71,71.98,10702.89,100.86,2.66,1,3,3,0,Normal
EVT-00128,2026-01-02 07:45:00,Surveillance,Desert,72.1,18.57,59.61,89.86,79.13,13161.12,131.56,0.42,1,4,5,0,Normal
EVT-00129,2026-01-02 08:00:00,Transit,Mountain,89.04,22.71,35.93,73.65,68.46,14542.55,163.39,1.48,3,3,5,0,Normal
EVT-00130,2026-01-02 08:15:00,Surveillance,Desert,92.21,23.22,55.63,89.85,87.06,14477.67,74.19,2.16,1,1,2,0,Normal
EVT-00131,2026-01-02 08:30:00,Transit,Mountain,82.45,13.17,39.75,91.72,100.0,9892.97,118.42,1.64,1,4,2,0,Normal
EVT-00132,2026-01-02 08:45:00,Transit,Desert,86.76,7.15,61.11,89.05,58.74,14496.17,114.03,2.47,0,2,4,0,Normal
EVT-00133,2026-01-02 09:00:00,Pre-Mission,Desert,89.18,27.26,49.73,84.46,57.69,11889.79,133.29,5.34,1,2,5,0,Normal
EVT-00134,2026-01-02 09:15:00,Transit,Desert,88.17,19.54,36.87,89.95,59.71,11188.51,163.37,4.5,3,3,1,0,Normal
EVT-00135,2026-01-02 09:30:00,Surveillance,Desert,83.53,7.71,40.82,87.2,94.49,10228.72,73.47,2.25,2,1,5,0,Normal
EVT-00136,2026-01-02 09:45:00,Launch,Urban,83.39,13.72,51.25,80.55,86.59,10600.16,139.94,0.57,1,3,5,0,Normal
EVT-00137,2026-01-02 10:00:00,Surveillance,Desert,31.21,46.55,53.42,98.95,70.1,16355.78,156.1,4.64,0,4,1,1,Radar Degradation
EVT-00138,2026-01-02 10:15:00,Pre-Mission,Coastal,68.12,16.32,44.43,83.54,72.51,12768.53,113.48,2.42,4,6,5,0,Normal
EVT-00139,2026-01-02 10:30:00,Launch,Desert,84.31,14.93,45.36,91.43,60.57,12436.53,115.19,0.0,3,5,4,0,Normal
EVT-00140,2026-01-02 10:45:00,Transit,Mountain,65.8,26.41,51.07,69.07,84.46,11344.38,462.59,21.31,1,2,5,1,Communication Disruption
EVT-00141,2026-01-02 11:00:00,Return,Open Ocean,70.85,11.72,46.05,94.94,66.68,18114.95,132.07,4.14,1,4,2,0,Normal
EVT-00142,2026-01-02 11:15:00,Launch,Coastal,89.73,13.21,34.65,96.28,68.36,15262.53,140.38,0.0,4,3,5,0,Normal
EVT-00143,2026-01-02 11:30:00,Launch,Open Ocean,85.56,19.27,38.5,86.21,80.52,10197.34,139.64,1.18,3,2,1,0,Normal
EVT-00144,2026-01-02 11:45:00,Transit,Open Ocean,91.39,20.34,46.88,89.91,69.37,11315.96,85.63,2.32,0,0,1,0,Normal
EVT-00145,2026-01-02 12:00:00,Return,Coastal,75.55,20.98,54.72,89.91,68.71,11464.39,437.94,11.5,1,2,3,1,Communication Disruption
EVT-00146,2026-01-02 12:15:00,Return,Mountain,67.63,23.47,57.93,81.5,72.15,12364.68,160.84,1.67,0,5,4,0,Normal
EVT-00147,2026-01-02 12:30:00,Pre-Mission,Mountain,75.84,19.19,51.24,89.83,83.13,10246.94,126.51,1.17,2,5,1,0,Normal
EVT-00148,2026-01-02 12:45:00,Launch,Desert,78.92,20.94,47.3,80.34,95.05,13097.04,67.7,3.66,5,3,2,0,Normal
EVT-00149,2026-01-02 13:00:00,Return,Desert,78.71,16.44,50.99,81.74,80.2,15630.22,115.98,1.75,5,3,2,0,Normal
EVT-00150,2026-01-02 13:15:00,Pre-Mission,Open Ocean,88.2,18.38,39.67,93.89,83.25,8715.93,126.8,3.37,2,3,1,0,Normal
EVT-00151,2026-01-02 13:30:00,Return,Coastal,74.75,18.65,43.77,92.82,69.2,9179.63,79.94,0.72,3,3,1,0,Normal
EVT-00152,2026-01-02 13:45:00,Launch,Mountain,81.17,19.29,38.41,81.06,62.09,10792.1,107.4,0.34,1,4,1,0,Normal
EVT-00153,2026-01-02 14:00:00,Return,Mountain,69.1,22.64,35.01,80.86,81.16,10908.01,70.67,3.71,18,26,5,1,Cyber Intrusion Pattern
EVT-00154,2026-01-02 14:15:00,Launch,Open Ocean,82.05,21.33,47.67,81.48,74.4,16996.16,141.26,2.9,3,1,5,0,Normal
EVT-00155,2026-01-02 14:30:00,Transit,Coastal,78.03,18.27,46.48,91.13,52.08,14504.27,487.6,18.77,1,2,4,1,Communication Disruption
EVT-00156,2026-01-02 14:45:00,Surveillance,Mountain,71.25,13.15,50.5,79.0,67.41,14360.81,62.4,1.65,2,3,4,0,Normal
EVT-00157,2026-01-02 15:00:00,Pre-Mission,Urban,75.88,18.41,49.37,88.5,70.84,11339.09,132.3,1.23,4,1,1,0,Normal
EVT-00158,2026-01-02 15:15:00,Transit,Open Ocean,76.34,17.83,46.94,91.23,64.85,11284.22,118.02,4.68,2,1,1,0,Normal
EVT-00159,2026-01-02 15:30:00,Transit,Coastal,75.57,19.16,49.45,85.38,92.74,8370.74,138.07,0.06,3,2,2,0,Normal
EVT-00160,2026-01-02 15:45:00,Surveillance,Coastal,93.94,31.24,44.66,93.07,78.72,13954.35,106.3,4.5,8,4,5,0,Normal
EVT-00161,2026-01-02 16:00:00,Return,Mountain,77.11,14.86,48.3,83.87,91.22,13227.64,91.95,4.61,1,5,3,0,Normal
EVT-00162,2026-01-02 16:15:00,Surveillance,Mountain,75.8,20.53,39.19,84.5,75.69,15214.99,93.02,3.88,3,1,5,0,Normal
EVT-00163,2026-01-02 16:30:00,Transit,Open Ocean,59.12,24.41,47.96,79.16,73.14,11472.93,101.16,1.4,1,3,2,0,Normal
EVT-00164,2026-01-02 16:45:00,Transit,Mountain,69.95,18.59,50.35,93.12,58.89,11645.55,120.66,1.19,2,4,2,0,Normal
EVT-00165,2026-01-02 17:00:00,Transit,Mountain,75.63,32.03,39.64,80.63,72.17,12425.11,493.67,9.72,0,2,5,1,Communication Disruption
EVT-00166,2026-01-02 17:15:00,Return,Urban,71.83,15.73,45.41,88.45,72.18,14229.74,113.32,0.43,2,6,3,0,Normal
EVT-00167,2026-01-02 17:30:00,Launch,Urban,90.44,19.94,40.01,85.5,52.86,8324.46,105.18,0.96,1,2,4,0,Normal
EVT-00168,2026-01-02 17:45:00,Pre-Mission,Coastal,76.52,13.21,40.79,78.63,64.45,13840.14,107.7,3.53,2,4,4,0,Normal
EVT-00169,2026-01-02 18:00:00,Launch,Open Ocean,89.6,15.89,36.0,81.74,67.47,11948.76,207.77,3.54,2,1,4,0,Normal
EVT-00170,2026-01-02 18:15:00,Pre-Mission,Open Ocean,78.56,19.49,55.13,95.68,77.79,9353.41,93.02,0.82,1,4,4,0,Normal
EVT-00171,2026-01-02 18:30:00,Pre-Mission,Desert,78.34,23.08,53.53,87.41,78.46,6788.49,100.47,3.58,1,2,5,0,Normal
EVT-00172,2026-01-02 18:45:00,Pre-Mission,Desert,77.2,19.91,49.3,78.94,63.86,11658.82,235.28,3.23,0,1,3,0,Normal
EVT-00173,2026-01-02 19:00:00,Surveillance,Coastal,78.03,25.55,60.78,88.14,78.56,15619.28,134.74,4.92,2,1,2,0,Normal
EVT-00174,2026-01-02 19:15:00,Surveillance,Urban,93.47,17.43,43.49,84.98,69.45,16186.71,71.7,3.41,0,2,3,0,Normal
EVT-00175,2026-01-02 19:30:00,Surveillance,Urban,57.12,16.01,69.25,100.0,31.83,12888.44,149.49,4.19,5,5,2,0,Normal
EVT-00176,2026-01-02 19:45:00,Transit,Coastal,59.99,34.22,43.18,88.0,65.21,16905.01,88.15,3.26,2,2,1,0,Normal
EVT-00177,2026-01-02 20:00:00,Surveillance,Coastal,73.11,20.37,47.04,83.34,87.11,11892.65,151.82,4.07,1,1,2,0,Normal
EVT-00178,2026-01-02 20:15:00,Pre-Mission,Urban,78.13,13.68,41.82,95.94,48.45,14383.26,112.62,0.44,0,4,3,0,Normal
EVT-00179,2026-01-02 20:30:00,Return,Coastal,84.21,13.83,47.98,73.11,73.58,10871.92,104.61,2.31,1,2,3,0,Normal
EVT-00180,2026-01-02 20:45:00,Transit,Urban,82.26,12.34,51.68,86.66,94.19,10713.5,176.32,2.44,26,29,2,1,Cyber Intrusion Pattern
EVT-00181,2026-01-02 21:00:00,Return,Desert,49.85,66.64,55.78,99.96,61.35,10306.23,294.82,2.11,16,3,4,1,Multi-Domain Escalation
