event_id,timestamp,mission_phase,region_type,radar_signal_strength,radar_noise_level,satellite_temperature,satellite_power_level,uav_battery_level,uav_altitude,communication_latency_ms,communication_packet_loss,cyber_alert_count,failed_login_attempts,weather_severity,anomaly_label,anomaly_type,hour,day_of_week,is_night_operation,radar_health_score,satellite_stability_score,uav_operational_score,communication_reliability_score,cyber_pressure_index,environmental_risk_index,sensor_degradation_index,multi_domain_pressure_score,simultaneous_domain_stress_count,mission_risk_score,risk_level,isolation_forest_anomaly,ml_anomaly_prediction,ml_anomaly_probability
EVT-00017,2026-01-01 04:00:00,Transit,Coastal,84.62,16.49,47.07,76.43,98.61,13761.03,77.23,1.13,5,3,3,0,Normal,4,3,1,68.13000000000001,52.89500000000001,85.54023600000001,89.8666,17.9,30,29.96409999999999,22.640797799999994,0,23.83,Low,0,0,0.0
EVT-00018,2026-01-01 04:15:00,Pre-Mission,Mountain,81.37,13.28,34.43,80.36,51.86,5803.11,81.93,3.07,3,5,1,0,Normal,4,3,1,68.09,63.144999999999996,43.265732,82.7006,16.5,10,26.2071,28.9150486,1,30.18,Moderate,0,0,0.0
EVT-00019,2026-01-01 04:30:00,Return,Urban,83.69,16.26,41.42,81.65,77.87,13420.78,134.12,2.73,1,2,4,0,Normal,4,3,1,67.42999999999999,60.940000000000005,70.613936,79.71539999999999,6.1,40,32.23565000000001,22.518255300000007,1,28.88,Low,0,0,0.0
EVT-00020,2026-01-01 04:45:00,Transit,Urban,65.36,19.19,46.68,78.13,77.46,11596.62,81.07,2.38,4,1,4,0,Normal,4,3,1,46.17,54.78999999999999,68.13794399999999,85.1844,11.8,40,39.846900000000005,28.433516200000003,1,34.49,Moderate,0,0,0.0
EVT-00021,2026-01-01 05:00:00,Transit,Urban,80.98,13.4,57.69,89.08,75.86,10796.4,145.91,2.39,0,5,5,0,Normal,5,3,1,67.58,60.235,66.05767999999999,79.96220000000001,9.0,50,33.79769999999999,25.147429,1,31.05,Moderate,0,0,0.0
EVT-00022,2026-01-01 05:15:00,Launch,Urban,75.28,13.16,46.78,94.38,65.08,12452.4,96.8,2.36,1,3,3,0,Normal,5,3,1,62.120000000000005,70.99,60.49888,83.996,7.9,30,29.0115,23.720399,0,24.13,Low,0,0,0.0
EVT-00023,2026-01-01 05:30:00,Pre-Mission,Open Ocean,73.65,9.84,56.07,79.64,83.58,10760.44,77.54,1.91,2,4,3,0,Normal,5,3,1,63.81,51.605000000000004,71.418528,87.1118,12.2,30,32.4873,24.605579400000003,0,25.84,Low,0,0,0.0
EVT-00024,2026-01-01 05:45:00,Return,Open Ocean,85.84,20.34,50.13,87.98,50.15,6690.31,101.53,2.72,2,6,2,0,Normal,5,3,1,65.5,62.915000000000006,43.133371999999994,82.3576,15.8,20,28.756849999999996,29.8439081,1,31.67,Moderate,0,0,0.0
EVT-00025,2026-01-01 06:00:00,Surveillance,Open Ocean,91.31,21.27,58.02,78.76,71.08,14305.62,131.78,1.47,4,1,3,0,Normal,6,3,0,70.04,49.75,66.922744,84.3126,11.8,30,31.470349999999996,24.907108700000002,0,25.85,Low,0,0,0.0
EVT-00026,2026-01-01 06:15:00,Surveillance,Urban,94.15,19.39,44.53,83.87,64.11,12607.54,110.29,6.75,3,2,1,0,Normal,6,3,0,74.76,61.605000000000004,60.00604799999999,67.5518,11.1,10,28.0448,24.5039504,0,24.82,Low,0,0,0.0
EVT-00027,2026-01-01 06:30:00,Transit,Urban,89.83,23.79,64.12,81.17,62.52,11215.14,121.2,0.25,1,1,3,0,Normal,6,3,0,66.03999999999999,49.11,57.222168,89.429,4.3,30,31.751250000000002,24.3486289,0,25.36,Low,0,0,0.0
EVT-00028,2026-01-01 06:45:00,Return,Coastal,77.01,18.53,41.12,90.21,78.0,9584.54,144.37,1.56,2,1,4,0,Normal,6,3,0,58.480000000000004,69.64999999999999,66.10144799999999,82.99040000000001,6.8,40,32.3719,23.7270654,1,29.37,Low,0,0,0.0
EVT-00029,2026-01-01 07:00:00,Transit,Mountain,81.17,20.35,38.87,81.25,87.08,8325.36,157.88,1.69,5,3,4,0,Normal,7,3,0,60.82,61.815,70.946432,81.4546,17.9,40,33.8956,27.3287336,1,32.14,Moderate,0,0,0.0
EVT-00030,2026-01-01 07:15:00,Transit,Coastal,84.9,19.82,35.32,93.08,67.19,12559.73,109.15,5.76,4,3,4,0,Normal,7,3,0,65.08000000000001,75.42,62.104676,71.108,15.4,40,31.589999999999993,27.184564799999997,1,31.62,Moderate,0,0,0.005
EVT-00031,2026-01-01 07:30:00,Transit,Mountain,79.09,17.45,63.65,84.28,82.93,16033.6,83.45,0.39,1,2,5,0,Normal,7,3,0,61.64,52.455,77.29132,91.959,6.1,50,34.8225,22.346860999999997,1,29.3,Low,0,0,0.0
EVT-00032,2026-01-01 07:45:00,Launch,Urban,79.18,14.82,51.56,81.45,72.7,12507.92,122.66,3.18,4,2,4,0,Normal,7,3,0,64.36000000000001,55.67,65.89950400000001,79.05720000000001,13.6,40,34.792199999999994,27.236589199999994,1,32.52,Moderate,0,0,0.0
EVT-00033,2026-01-01 08:00:00,Pre-Mission,Desert,85.41,31.28,42.33,77.23,59.5,8543.1,136.47,2.9,1,1,4,0,Normal,8,3,0,54.129999999999995,56.065000000000005,51.90172,78.9324,4.3,40,38.30515,28.361973499999998,1,34.2,Moderate,0,0,0.0
EVT-00034,2026-01-01 08:15:00,Transit,Coastal,77.47,15.29,54.99,87.77,68.39,12562.79,68.87,3.03,0,6,3,0,Normal,8,3,0,62.18,60.27499999999999,62.948347999999996,83.88539999999999,10.8,30,31.696900000000003,25.453935400000006,0,26.11,Low,0,0,0.0
EVT-00035,2026-01-01 08:30:00,Return,Urban,71.44,14.0,50.5,92.27,67.81,11866.64,88.83,4.48,3,4,4,0,Normal,8,3,0,57.44,67.02,61.706967999999996,77.2136,14.7,40,34.837599999999995,28.4805264,1,33.2,Moderate,0,0,0.0
EVT-00036,2026-01-01 08:45:00,Pre-Mission,Desert,74.27,20.6,60.73,87.91,62.25,14160.11,94.83,4.45,3,6,4,0,Normal,8,3,0,53.669999999999995,57.545,60.567132,76.8386,18.3,40,38.619600000000005,31.670393600000004,1,36.35,Moderate,0,0,0.01
EVT-00037,2026-01-01 09:00:00,Return,Open Ocean,83.71,19.51,32.62,100.0,78.0,13516.83,112.73,1.78,1,4,3,0,Normal,9,3,0,64.19999999999999,83.69,70.820196,84.7516,9.7,30,24.919600000000003,20.444780800000004,0,20.81,Low,0,0,0.0
EVT-00038,2026-01-01 09:15:00,Return,Urban,47.65,26.17,55.62,96.01,75.29,4535.44,253.13,2.81,11,1,3,1,Multi-Domain Escalation,9,3,0,21.479999999999997,68.2,58.145528,69.91460000000001,29.3,30,47.45335,39.9799019,1,43.91,Moderate,1,1,1.0
EVT-00039,2026-01-01 09:30:00,Launch,Mountain,81.06,24.74,41.3,83.85,49.73,13363.11,144.75,0.0,2,3,4,0,Normal,9,3,0,56.32000000000001,63.199999999999996,50.84673199999999,88.42,10.4,40,33.382999999999996,28.4930036,1,32.31,Moderate,0,0,0.0
EVT-00040,2026-01-01 09:45:00,Surveillance,Open Ocean,84.03,17.43,29.21,83.77,48.88,9491.3,63.82,2.66,2,4,2,0,Normal,9,3,0,66.6,69.16499999999999,45.60556,85.5844,12.2,20,26.002650000000003,26.850080500000004,0,24.86,Low,0,0,0.0
EVT-00041,2026-01-01 10:00:00,Pre-Mission,Desert,74.63,11.33,53.48,89.29,77.95,8445.68,64.71,1.23,1,3,2,0,Normal,10,3,0,63.3,62.55000000000001,64.699816,90.51820000000001,7.9,20,27.577949999999994,22.2351143,0,22.51,Low,0,0,0.0
EVT-00042,2026-01-01 10:15:00,Surveillance,Open Ocean,84.81,25.13,65.69,54.91,60.59,11528.82,108.31,2.2,3,5,3,1,Satellite Telemetry Spike,10,3,0,59.68000000000001,22.064999999999998,56.247583999999996,83.6352,16.5,30,42.186949999999996,33.509610699999996,1,38.5,Moderate,1,1,0.98
EVT-00043,2026-01-01 10:30:00,Surveillance,Mountain,81.41,21.75,50.92,94.16,76.23,13027.43,113.85,0.0,2,3,4,0,Normal,10,3,0,59.66,68.69999999999999,68.993916,90.892,10.4,40,30.221000000000004,23.440666800000002,1,28.24,Low,0,0,0.0
EVT-00044,2026-01-01 10:45:00,Launch,Coastal,66.89,10.41,63.88,88.53,82.93,7898.16,69.09,3.15,2,2,3,0,Normal,10,3,0,56.480000000000004,56.59,67.528792,83.4478,8.6,30,34.72255,25.1293891,0,26.9,Low,0,0,0.0
EVT-00045,2026-01-01 11:00:00,Pre-Mission,Desert,90.98,28.66,42.17,87.8,54.21,13761.44,98.76,0.0,4,2,1,0,Normal,11,3,0,62.32000000000001,66.715,54.460727999999996,92.0992,13.6,10,24.984449999999995,25.110856899999998,0,23.14,Low,0,0,0.0
EVT-00046,2026-01-01 11:15:00,Return,Urban,73.49,21.95,41.63,90.81,52.24,13908.35,105.96,2.74,2,4,5,0,Normal,11,3,0,51.53999999999999,69.995,53.25802,81.9332,12.2,50,36.47895,30.0339235,1,34.5,Moderate,0,0,0.0
EVT-00047,2026-01-01 11:30:00,Transit,Coastal,63.1,17.94,45.95,98.06,95.44,12117.44,106.23,0.54,3,1,3,0,Normal,11,3,0,45.16,75.08500000000001,81.348928,89.6116,9.3,30,32.51985,21.6191469,0,23.69,Low,0,0,0.0
EVT-00048,2026-01-01 11:45:00,Return,Desert,68.59,27.54,52.9,87.2,76.92,9830.94,125.32,1.14,0,1,3,0,Normal,11,3,0,41.050000000000004,60.75,65.64112800000001,85.98440000000001,1.8,30,38.448899999999995,24.803779399999996,1,31.64,Moderate,0,0,0.005
EVT-00049,2026-01-01 12:00:00,Surveillance,Desert,68.81,18.96,40.47,85.21,66.13,9551.55,96.84,4.35,0,4,5,0,Normal,12,3,0,49.85,64.975,57.75286,77.0278,7.2,50,39.5518,28.767738,1,34.95,Moderate,0,0,0.0
EVT-00050,2026-01-01 12:15:00,Surveillance,Urban,78.47,17.83,39.95,96.56,58.92,14564.83,171.72,3.44,2,3,3,0,Normal,12,3,0,60.64,76.58500000000001,58.721796,74.2224,10.4,30,30.57415,25.6540083,0,26.09,Low,0,0,0.0
EVT-00051,2026-01-01 12:30:00,Surveillance,Mountain,75.54,14.04,53.46,92.77,64.85,8221.94,137.09,4.34,3,2,1,0,Normal,12,3,0,61.50000000000001,66.03999999999999,55.261328,73.8428,11.1,10,30.004299999999997,26.334669400000003,0,26.15,Low,0,0,0.0
EVT-00052,2026-01-01 12:45:00,Pre-Mission,Coastal,74.97,21.49,48.03,83.75,55.33,14661.18,91.75,5.0,2,4,5,0,Normal,12,3,0,53.480000000000004,59.735,56.324416,75.16,12.2,50,40.05825,31.0313293,1,36.59,Moderate,0,0,0.0
EVT-00053,2026-01-01 13:00:00,Launch,Mountain,83.58,20.86,28.64,86.04,84.37,11587.0,123.31,1.26,1,5,2,0,Normal,13,3,0,62.72,71.72,72.9634,85.7252,11.5,20,26.686700000000002,21.441335000000002,0,21.88,Low,0,0,0.0
EVT-00054,2026-01-01 13:15:00,Transit,Open Ocean,81.06,18.09,35.2,87.37,61.13,11760.41,124.34,4.9,0,5,5,0,Normal,13,3,0,62.97,69.77000000000001,56.903492,72.9028,9.0,50,34.7923,27.4258366,1,32.85,Moderate,0,0,0.0
EVT-00055,2026-01-01 13:30:00,Transit,Urban,80.84,13.26,57.01,88.53,87.31,7729.78,162.52,0.16,2,2,3,0,Normal,13,3,0,67.58,60.025000000000006,70.392736,86.4384,8.6,30,29.23115,22.0854703,0,23.29,Low,0,0,0.0
EVT-00056,2026-01-01 13:45:00,Pre-Mission,Open Ocean,81.69,18.78,48.22,76.5,66.39,11633.21,98.99,3.69,3,2,2,0,Normal,13,3,0,62.91,52.39,60.432852,79.16579999999999,11.1,20,33.09255,26.690077100000003,0,27.4,Low,0,0,0.0
EVT-00057,2026-01-01 14:00:00,Transit,Mountain,83.55,17.58,38.9,75.2,57.39,13533.96,146.86,1.71,0,0,2,0,Normal,14,3,0,65.97,55.75,56.413751999999995,82.2662,0.0,20,30.40645,22.4001521,0,23.87,Low,0,0,0.0
EVT-00058,2026-01-01 14:15:00,Pre-Mission,Desert,59.03,10.0,43.64,79.79,66.03,8658.97,121.46,1.01,3,1,5,0,Normal,14,3,0,49.03,57.970000000000006,56.611763999999994,86.7482,9.3,50,39.159949999999995,29.554624699999998,1,34.97,Moderate,0,0,0.0
EVT-00059,2026-01-01 14:30:00,Surveillance,Mountain,74.72,9.17,63.48,54.13,35.26,13246.59,172.2,3.48,4,3,5,1,Satellite Telemetry Spike,14,3,0,65.55,22.390000000000004,40.577908,74.04400000000001,15.4,50,45.449,37.7264684,3,50.65,Moderate,1,1,0.97
EVT-00060,2026-01-01 14:45:00,Surveillance,Coastal,58.38,21.39,50.89,81.49,70.31,12222.53,165.18,4.01,0,4,1,0,Normal,14,3,0,36.99,56.044999999999995,63.884036,72.7506,7.2,10,41.354600000000005,28.3527628,1,34.92,Moderate,0,0,0.0
EVT-00061,2026-01-01 15:00:00,Return,Desert,78.32,2.39,34.13,90.44,69.62,10390.61,126.89,3.96,1,2,5,0,Normal,15,3,0,75.92999999999999,73.375,61.202732,75.9888,6.1,50,28.583550000000002,22.7570511,1,28.06,Low,0,0,0.0
EVT-00062,2026-01-01 15:15:00,Surveillance,Desert,77.96,19.23,38.27,84.82,83.55,14136.68,110.82,2.84,3,5,5,0,Normal,15,3,0,58.72999999999999,65.68499999999999,75.449016,81.1944,16.5,50,35.224650000000004,26.536289300000004,1,32.2,Moderate,0,0,0.0
EVT-00063,2026-01-01 15:30:00,Launch,Urban,54.12,27.85,47.18,87.37,45.59,6494.36,137.73,2.71,5,1,4,1,Radar Degradation,15,3,0,26.269999999999996,63.78,39.706232,79.4966,14.3,40,45.98635,37.7576111,3,49.9,Moderate,1,1,0.97
EVT-00064,2026-01-01 15:45:00,Return,Desert,88.69,25.85,44.2,77.43,88.27,12866.7,113.68,3.34,3,2,1,0,Normal,15,3,0,62.839999999999996,55.330000000000005,77.22904,79.2156,11.1,10,30.8696,22.330512,0,24.0,Low,0,0,0.0
EVT-00065,2026-01-01 16:00:00,Transit,Desert,79.82,15.04,49.57,82.77,83.49,16048.59,178.81,2.99,2,7,3,0,Normal,16,3,0,64.78,57.985,77.701308,75.2302,17.6,30,33.5232,25.7051784,0,27.25,Low,0,0,0.0
EVT-00066,2026-01-01 16:15:00,Launch,Coastal,73.5,21.96,35.16,90.11,89.53,15599.86,122.75,3.37,1,4,3,0,Normal,16,3,0,51.54,72.53,81.390832,78.385,9.7,30,33.73224999999999,22.296346099999997,0,24.97,Low,0,0,0.0
EVT-00067,2026-01-01 16:30:00,Return,Open Ocean,82.37,15.62,47.86,90.16,71.26,12974.52,105.8,2.83,3,5,1,0,Normal,16,3,0,66.75,66.22999999999999,65.451424,81.631,16.5,10,26.172250000000002,24.4622277,0,23.59,Low,0,0,0.0
EVT-00068,2026-01-01 16:45:00,Launch,Desert,73.25,18.68,53.73,80.93,86.19,11245.8,103.91,3.85,3,2,5,0,Normal,16,3,0,54.57,54.06500000000001,73.82795999999999,78.21220000000001,11.1,50,40.331199999999995,27.268448,1,34.42,Moderate,0,0,0.0
EVT-00069,2026-01-01 17:00:00,Pre-Mission,Coastal,77.99,22.42,48.89,87.13,51.4,10410.49,77.54,0.0,0,2,4,0,Normal,17,3,0,55.56999999999999,62.684999999999995,48.472587999999995,93.7968,3.6,40,32.43005,26.159004900000003,1,30.41,Moderate,0,0,0.0
EVT-00070,2026-01-01 17:15:00,Transit,Urban,86.88,15.22,46.11,100.0,81.98,11242.69,139.48,2.29,3,1,1,0,Normal,17,3,0,71.66,76.945,70.877228,80.8266,9.3,10,21.976100000000002,18.9687994,0,19.0,Low,0,0,0.0
EVT-00071,2026-01-01 17:30:00,Surveillance,Desert,72.98,23.98,44.23,85.88,61.2,13359.52,91.3,0.29,5,6,2,0,Normal,17,3,0,49.0,63.765,58.871424,91.681,23.3,20,31.9885,30.775540200000002,0,28.81,Low,0,0,0.01
EVT-00072,2026-01-01 17:45:00,Pre-Mission,Coastal,85.25,12.04,38.32,81.15,48.88,9981.89,158.44,2.94,3,3,5,0,Normal,17,3,0,73.21000000000001,61.99000000000001,46.194268,77.03479999999999,12.9,50,32.1203,29.730281400000003,1,33.32,Moderate,0,0,0.0
EVT-00073,2026-01-01 18:00:00,Transit,Desert,84.1,19.77,44.42,84.78,56.26,13893.56,185.53,17.28,3,0,3,1,Communication Disruption,18,3,0,64.33,62.57,56.054272,24.677599999999998,7.5,30,45.1726,31.741815600000002,1,40.34,Moderate,1,1,0.95
EVT-00074,2026-01-01 18:15:00,Pre-Mission,Mountain,69.41,23.54,55.08,86.65,72.08,17332.9,124.45,1.74,3,5,3,0,Normal,18,3,0,45.87,59.11000000000001,71.25548,83.954,16.5,30,37.679500000000004,28.479679,0,29.72,Low,0,0,0.0
EVT-00075,2026-01-01 18:30:00,Surveillance,Mountain,86.77,21.96,44.05,84.94,60.46,11845.29,160.26,2.7,3,3,1,0,Normal,18,3,0,64.81,62.915,56.536348,77.72919999999999,12.9,10,28.655450000000002,26.102682899999998,0,25.49,Low,0,0,0.0
EVT-00076,2026-01-01 18:45:00,Transit,Urban,84.29,29.5,37.88,85.78,77.27,8639.01,44.67,3.71,4,5,1,0,Normal,18,3,0,54.790000000000006,66.84,64.455812,83.4414,19.0,10,29.753149999999994,27.147755099999998,0,26.17,Low,0,0,0.0
EVT-00077,2026-01-01 19:00:00,Launch,Desert,78.92,13.42,71.02,55.02,46.68,8638.14,190.64,0.0,0,3,5,1,Satellite Telemetry Spike,19,3,0,65.5,19.510000000000005,43.04176799999999,84.7488,5.4,50,43.5103,32.8612814,3,46.77,Moderate,1,1,0.965
EVT-00078,2026-01-01 19:15:00,Launch,Urban,71.14,9.73,46.61,79.26,42.22,13941.41,105.12,1.66,1,3,5,0,Normal,19,3,0,61.41,55.955000000000005,46.283692,85.7804,7.9,50,35.572649999999996,29.5159541,1,33.92,Moderate,0,0,0.0
EVT-00079,2026-01-01 19:30:00,Transit,Mountain,70.27,12.03,42.01,84.95,91.21,11850.63,270.55,13.74,2,1,1,1,Communication Disruption,19,3,0,58.239999999999995,63.94500000000001,78.06775599999999,30.26599999999999,6.8,10,42.563250000000004,25.919911300000006,1,35.6,Moderate,1,1,0.835
EVT-00080,2026-01-01 19:45:00,Surveillance,Open Ocean,73.16,21.96,48.88,84.84,84.65,14192.08,140.0,0.0,3,3,3,0,Normal,19,3,0,51.199999999999996,60.400000000000006,76.285496,88.8,12.9,30,34.28,24.6839008,0,26.25,Low,0,0,0.0
EVT-00081,2026-01-01 20:00:00,Return,Open Ocean,82.88,20.99,49.18,82.04,57.31,10665.91,145.41,0.94,1,2,4,0,Normal,20,3,1,61.89,57.45,52.916092,85.07719999999999,6.1,40,33.7067,26.7197966,1,31.58,Moderate,0,0,0.0
EVT-00082,2026-01-01 20:15:00,Transit,Open Ocean,69.4,18.61,52.11,84.76,71.96,14076.56,129.59,4.26,3,1,5,0,Normal,20,3,1,50.790000000000006,58.705000000000005,67.26387199999999,74.7228,9.3,50,41.36655,28.4171731,1,35.49,Moderate,0,0,0.005
EVT-00083,2026-01-01 20:30:00,Pre-Mission,Open Ocean,81.94,11.26,56.39,86.43,86.27,11604.25,154.91,4.1,2,0,3,0,Normal,20,3,1,70.67999999999999,58.23500000000001,74.3141,73.25720000000001,5.0,30,31.888949999999998,21.2372075,0,24.18,Low,0,0,0.0
EVT-00084,2026-01-01 20:45:00,Return,Mountain,66.82,22.6,52.97,92.23,77.87,10168.74,288.04,17.52,3,7,5,1,Communication Disruption,20,3,1,44.21999999999999,65.745,66.711488,15.636800000000001,20.1,50,56.677550000000004,39.1975999,3,56.88,High,1,1,0.975
EVT-00085,2026-01-01 21:00:00,Surveillance,Coastal,76.16,10.65,37.53,85.31,74.08,10997.5,181.63,3.91,25,18,1,1,Cyber Intrusion Pattern,21,3,1,65.50999999999999,66.545,65.053,71.7846,94.9,10,28.989100000000004,53.24949500000001,1,45.96,Moderate,1,1,0.975
EVT-00086,2026-01-01 21:15:00,Surveillance,Open Ocean,78.99,24.95,37.77,88.79,87.33,9007.36,138.28,2.84,1,3,1,0,Normal,21,3,1,54.03999999999999,69.905,71.939832,78.9976,7.9,10,30.36035,22.0391911,0,23.48,Low,0,0,0.0
EVT-00087,2026-01-01 21:30:00,Pre-Mission,Open Ocean,100.0,35.14,44.39,82.21,61.77,16973.4,188.76,3.39,2,1,3,0,Normal,21,3,1,64.86,60.01499999999999,63.607079999999996,73.03420000000001,6.8,30,33.536699999999996,24.750099000000002,0,26.71,Low,0,0,0.0
EVT-00088,2026-01-01 21:45:00,Launch,Open Ocean,65.6,20.2,41.39,90.0,72.44,11759.05,151.54,1.99,3,5,2,0,Normal,21,3,1,45.39999999999999,69.305,64.81886,80.9118,16.5,20,34.555800000000005,28.361338000000003,0,28.55,Low,0,0,0.0
EVT-00089,2026-01-01 22:00:00,Surveillance,Desert,91.25,21.5,35.89,88.63,71.75,13611.29,56.8,2.69,1,2,4,0,Normal,22,3,1,69.75,70.685,66.558548,86.041,6.1,40,27.406,21.1559904,1,26.22,Low,0,0,0.0
EVT-00090,2026-01-01 22:15:00,Return,Urban,79.35,15.04,41.47,92.06,68.18,10657.83,211.39,1.49,3,2,2,0,Normal,22,3,1,64.31,71.325,60.515395999999996,77.87379999999999,11.1,20,28.1918,24.4682308,0,24.44,Low,0,0,0.015
EVT-00091,2026-01-01 22:30:00,Transit,Mountain,81.7,7.14,41.2,90.99,66.54,9370.18,99.9,4.52,1,2,3,0,Normal,22,3,1,74.56,70.38999999999999,57.822216000000004,76.188,6.1,30,26.7595,22.6123318,0,23.14,Low,0,0,0.0
EVT-00092,2026-01-01 22:45:00,Return,Mountain,79.07,14.38,39.63,90.12,73.02,11415.3,172.34,4.93,2,4,3,0,Normal,22,3,1,64.69,70.305,64.81236,68.9578,12.2,30,32.0428,25.726788,0,26.89,Low,0,0,0.0
EVT-00093,2026-01-01 23:00:00,Return,Open Ocean,82.0,11.44,42.47,85.31,72.48,14752.98,120.94,4.71,2,2,5,0,Normal,23,3,1,70.56,64.075,68.43957599999999,73.8398,8.6,50,33.3253,24.318469800000003,1,30.63,Moderate,0,0,0.0
EVT-00094,2026-01-01 23:15:00,Launch,Coastal,76.62,9.32,54.43,87.71,57.32,10698.17,157.14,1.85,1,4,1,0,Normal,23,3,1,67.30000000000001,60.49499999999999,52.961803999999994,80.9538,9.7,10,27.5828,25.2148992,0,24.53,Low,0,0,0.0
